,number,id,link,title,address,price
42,3,210876068,https://www.moyareklama.by/single/ad/210876068,"
1-ком. квартира 30 м², 3/5 эт.
            
","Железнодорожный р-н, ул. Ветковская, д. 1 (БелГУТ)","
58 000 р. 1 933,33  р./м²
"
43,4,210870316,https://www.moyareklama.by/single/ad/210870316,"
2-ком. квартира 73,4 м², 8/18 эт.
            
","Центральный р-н, ул. Бородина, д. 6","
180 000 р. 2 452,32  р./м²
"
44,5,210081363,https://www.moyareklama.by/single/ad/210081363,"
1-ком. квартира 31 м², 2/4 эт.
            
","Железнодорожный р-н, ул. Кирова, д. 44","
64 500 р. 2 082,66  р./м²
"
45,6,210167993,https://www.moyareklama.by/single/ad/210167993,"
2-ком. квартира 74,5 м², 11/18 эт.
            
","Центральный р-н, ул. Бородина, д. 6","
163 432 р. 2 193,72  р./м²
"
46,7,210354892,https://www.moyareklama.by/single/ad/210354892,"
3-ком. квартира 75,2 м², 1/10 эт.
            
","Железнодорожный р-н, ул. Докутович (ост. ""Полесская"")","
127 000 р. 1 688,83  р./м²
"
47,8,210495201,https://www.moyareklama.by/single/ad/210495201,"
2-ком. квартира 56,3 м², 8/10 эт.
            
","Советский р-н, ул. Денисенко, д. 66","
131 800 р. 2 341,03  р./м²
"
48,9,210548566,https://www.moyareklama.by/single/ad/210548566,"
3-ком. квартира 76,9 м², 10/14 эт.
            
","Железнодорожный р-н, ул. Кожара, д. 26","
146 000 р. 1 897,58  р./м²
"
49,10,210581366,https://www.moyareklama.by/single/ad/210581366,"
3-ком. квартира 80 м², 4/5 эт.
            
","Центральный район, ул. Свиридова, д. 34 (маг. Пятачок, СШ № 66)","
140 133,80 р. 1 751,67  р./м²
"
50,11,210596058,https://www.moyareklama.by/single/ad/210596058,"
3-ком. квартира 88,5 м², 1/10 эт.
            
","Новобелицкий р-н, ул. Разина, д. 22 (Новобелицкий ОВД)","
130 000 р. 1 468,93  р./м²
"
51,12,210596168,https://www.moyareklama.by/single/ad/210596168,"
3-ком. квартира 80,7 м², 11/11 эт.
            
","Железнодорожный р-н, ул. 8-я Иногородняя, д. 7А (УО ""Гом. гос. проф.-тех.колледж народ.худож.промыслов"")","
128 000 р. 1 586,12  р./м²
"
52,13,210581864,https://www.moyareklama.by/single/ad/210581864,"
2-ком. квартира 48,6 м², 1/4 эт.
            
","Центральный р-н, ул. Ирининская, д. 8","
91 800 р. 1 888,89  р./м²
"
53,14,210595037,https://www.moyareklama.by/single/ad/210595037,"
2-ком. квартира 54,3 м², 1/9 эт.
            
","Новобелицкий р-н, ул. Оськина, д. 14 (магазин ""Копеечка"")","
90 300 р. 1 662,98  р./м²
"
54,15,210642718,https://www.moyareklama.by/single/ad/210642718,"
2-ком. квартира 49,8 м², 5/5 эт.
            
","Советский р-н, ул. Сосновая, д. 4","
53 550 р. 1 075,30  р./м²
"
55,16,210676119,https://www.moyareklama.by/single/ad/210676119,"
2-ком. квартира 43,1 м², 4/5 эт.
            
","Центральный р-н, ул. Гагарина, д. 9А","
71 429 р. 1 657,29  р./м²
"
56,17,210650902,https://www.moyareklama.by/single/ad/210650902,"
2-ком. квартира 57,4 м², 1/11 эт.
            
","Советский р-н, ул. Барыкина (ул. Белорусская. д.11)","
99 600 р. 1 736,40  р./м²
"
57,18,210656442,https://www.moyareklama.by/single/ad/210656442,"
2-ком. квартира 46,1 м², 5/5 эт.
            
","Советский р-н, ул. Павлова, д. 9","
58 725 р. 1 273,86  р./м²
"
58,19,210690149,https://www.moyareklama.by/single/ad/210690149,"
4-ком. квартира 72,8 м², 4/5 эт.
            
","Центральный р-н, ул. Ланге, д. 5А (ОКЦ)","
134 160 р. 1 843,62  р./м²
"
59,20,210692306,https://www.moyareklama.by/single/ad/210692306,"
3-ком. квартира 69,9 м², 12/12 эт.
            
","Железнодорожный р-н, ул. Народного Ополчения, д. 4","
99 600 р. 1 424,89  р./м²
"
60,1,210850002,https://www.moyareklama.by/single/ad/210850002,"
2-ком. квартира 49 м², 1/5 эт.
            
","Советский р-н, пр-т Октября, д. 19","
62 660 р. 1 278,78  р./м²
"
61,2,210856387,https://www.moyareklama.by/single/ad/210856387,"
3-ком. квартира 65,2 м², 10/10 эт.
            
","Центральный р-н, ул. Чечерская, д. 13","
127 920 р. 1 961,96  р./м²
"
62,3,210852984,https://www.moyareklama.by/single/ad/210852984,"
3-ком. квартира 84 м², 1/1 эт.
            
","Новобелицкий р-н, ул. Белого, д. 21","
125 000 р. 1 488,10  р./м²
"
63,4,210853681,https://www.moyareklama.by/single/ad/210853681,"
2-ком. квартира 45,4 м², 5/5 эт.
            
","Центральный р-н, ул. Советская, д. 54","
68 000 р. 1 497,80  р./м²
"
64,5,210858328,https://www.moyareklama.by/single/ad/210858328,"
3-ком. квартира 71,2 м², 5/9 эт.
            
","Железнодорожный р-н, ул. Чапаева, д. 4","
93 100 р. 1 307,58  р./м²
"
65,6,210860270,https://www.moyareklama.by/single/ad/210860270,"
3-ком. квартира 75,2 м², 18/18 эт.
            
","Советский р-н, пр-т Речицкий, д. 78","
114 540 р. 1 523,54  р./м²
"
66,7,210859333,https://www.moyareklama.by/single/ad/210859333,"
1-ком. квартира 30,9 м², 9/10 эт.
            
","Центральный р-н, ул. Чечерская, д. 21","
65 583 р. 2 122,43  р./м²
"
67,8,210860168,https://www.moyareklama.by/single/ad/210860168,"
1-ком. квартира 35,4 м², 5/5 эт.
            
","Советский р-н, мкр Энергетиков, д. 29","
42 330 р. 1 195,76  р./м²
"
68,9,210862153,https://www.moyareklama.by/single/ad/210862153,"
1-ком. квартира 30,9 м², 9/10 эт.
            
","Центральный р-н, ул. Чечерская, д. 27","
62 250 р. 2 016,52  р./м²
"
69,10,210861389,https://www.moyareklama.by/single/ad/210861389,"
2-ком. квартира 49,7 м², 4/5 эт.
            
","Центральный р-н, пр-т Ленина, д. 34","
80 735 р. 1 625,76  р./м²
"
70,11,210862289,https://www.moyareklama.by/single/ad/210862289,"
3-ком. квартира 112 м², 3/6 эт.
            
","Железнодорожный р-н, ул. Ленина, д. 51 (Дом Комунны)","
"
71,12,210863628,https://www.moyareklama.by/single/ad/210863628,"
1-ком. квартира 38 м², 1/3 эт.
            
","Гомельский р-н, аг. Урицкое, ул. Парковая, д. 7","
51 000 р. 1 342,11  р./м²
"
72,13,210861391,https://www.moyareklama.by/single/ad/210861391,"
2-ком. квартира 55,9 м², 2/10 эт.
            
","Советский р-н, ул. Г.Денисенко, д. 48","
"
73,14,210862179,https://www.moyareklama.by/single/ad/210862179,"
3-ком. квартира 79,9 м², 2/10 эт.
            
","Центральный р-н, ул. Тельмана, д. 3 (Новый универмаг)","
237 500 р. 2 972,47  р./м²
"
74,15,210871652,https://www.moyareklama.by/single/ad/210871652,"
3-ком. квартира 78,9 м², 4/5 эт.
            
","Центральный р-н, пр-т Ленина, д. 22 (остановка ""Карповича"")","
"
75,16,210866470,https://www.moyareklama.by/single/ad/210866470,"
4-ком. квартира 63,3 м², 5/5 эт.
            
","Советский р-н, ул. Б.Хмельницкого, д. 64","
"
76,17,210868155,https://www.moyareklama.by/single/ad/210868155,"
1-ком. квартира 35,8 м², 10/16 эт.
            
","Советский р-н, ул. 60 лет СССР, д. 1 (остановка ""Жукова"")","
"
77,18,210874044,https://www.moyareklama.by/single/ad/210874044,"
2-ком. квартира 41,4 м², 1/5 эт.
            
","Советский р-н, пр-т Речицкий, д. 4б","
"
78,19,210880538,https://www.moyareklama.by/single/ad/210880538,"
2-ком. квартира 54 м², 3/5 эт.
            
","Центральный р-н, ул. Рогачёвская, д. 4","
"
79,20,210880828,https://www.moyareklama.by/single/ad/210880828,"
1-ком. квартира 36,9 м², 11/11 эт.
            
","Советский р-н, ул. Пенязькова, д. 55Б","
67 690 р. 1 834,42  р./м²
"
80,1,210843937,https://www.moyareklama.by/single/ad/210843937,"
3-ком. квартира 57,1 м², 1/5 эт.
            
","Советский р-н, ул. Волгоградская, д. 37","
103 530 р. 1 813,13  р./м²
"
81,2,210845478,https://www.moyareklama.by/single/ad/210845478,"
3-ком. квартира 112 м², 6/6 эт.
            
","Железнодорожный р-н, пр-т Ленина, д. 51","
"
82,3,210846412,https://www.moyareklama.by/single/ad/210846412,"
2-ком. квартира 45,7 м², 1/5 эт.
            
","Железнодорожный р-н, ул. Советская, д. 121","
53 460 р. 1 169,04  р./м²
"
83,4,210848188,https://www.moyareklama.by/single/ad/210848188,"
3-ком. квартира 66,7 м², 4/9 эт.
            
","Центральный р-н, ул. Макаёнка, д. 23","
130 000 р. 1 949,03  р./м²
"
84,5,210846675,https://www.moyareklama.by/single/ad/210846675,"
1-ком. квартира 30 м², 4/9 эт.
            
","Железнодорожный р-н, ул. Чонгарской Дивизии, д. 12","
40 970 р. 1 365,67  р./м²
"
85,6,210847193,https://www.moyareklama.by/single/ad/210847193,"
3-ком. квартира 65 м², 10/10 эт.
            
","Центральный р-н, ул. Мазурова, д. 11","
182 500 р. 2 807,69  р./м²
"
86,7,210848471,https://www.moyareklama.by/single/ad/210848471,"
3-ком. квартира 70,5 м², 1/11 эт.
            
","Советский р-н, ул. Гомельская, д. 66 (ост. ""3-я школа"")","
112 000 р. 1 588,65  р./м²
"
87,8,210848330,https://www.moyareklama.by/single/ad/210848330,"
1-ком. квартира 30 м², 1/4 эт.
            
","Центральный р-н, ул. Волотовская, д. 2","
71 000 р. 2 366,67  р./м²
"
88,9,210848461,https://www.moyareklama.by/single/ad/210848461,"
3-ком. квартира 80,5 м², 5/5 эт.
            
","Советский р-н, ул. Лермонтова, д. 11 (ул.Барыкина)","
136 000 р. 1 689,44  р./м²
"
89,10,210849104,https://www.moyareklama.by/single/ad/210849104,"
3-ком. квартира 70,1 м², 7/10 эт.
            
","Советский р-н, ул. Барыкина, д. 100 (кинотеатр ""Октябрь"")","
112 840 р. 1 609,70  р./м²
"
90,11,210850002,https://www.moyareklama.by/single/ad/210850002,"
2-ком. квартира 49 м², 1/5 эт.
            
","Советский р-н, пр-т Октября, д. 19","
62 660 р. 1 278,78  р./м²
"
91,12,210852984,https://www.moyareklama.by/single/ad/210852984,"
3-ком. квартира 84 м², 1/1 эт.
            
","Новобелицкий р-н, ул. Белого, д. 21","
125 000 р. 1 488,10  р./м²
"
92,13,210853681,https://www.moyareklama.by/single/ad/210853681,"
2-ком. квартира 45,4 м², 5/5 эт.
            
","Центральный р-н, ул. Советская, д. 54","
68 000 р. 1 497,80  р./м²
"
93,14,210883241,https://www.moyareklama.by/single/ad/210883241,"
3-ком. квартира 67,4 м², 1/15 эт.
            
","Железнодорожный р-н, ул. Петруся Бровки, д. 49","
125 840 р. 1 867,06  р./м²
"
94,15,210880785,https://www.moyareklama.by/single/ad/210880785,"
2-ком. квартира 45,8 м², 3/9 эт.
            
","Новобелицкий р-н, ул. Рябиновая, д. 2а","
92 500 р. 2 019,65  р./м²
"
95,16,210879352,https://www.moyareklama.by/single/ad/210879352,"
2-ком. квартира 42,9 м², 4/4 эт.
            
","Железнодорожный р-н, ул. Билецкого, д. 2","
95 000 р. 2 216  р./м²
"
96,17,210882889,https://www.moyareklama.by/single/ad/210882889,"
1-ком. квартира 31,2 м², 7/9 эт.
            
","Железнодорожный р-н, ул. Свиридова, д. 1к2 (""Брянский"")","
65 000 р. 2 083,33  р./м²
"
97,18,210882875,https://www.moyareklama.by/single/ad/210882875,"
3-ком. квартира 65,3 м², 4/9 эт.
            
","Новобелицкий р-н, ул. Герцена (Международная)","
150 000 р. 2 297,09  р./м²
"
98,19,210882861,https://www.moyareklama.by/single/ad/210882861,"
2-ком. квартира 44 м², 4/4 эт.
            
","Центральный р-н, пр-т Победы, д. 20а","
110 000 р. 2 500  р./м²
"
99,20,210882844,https://www.moyareklama.by/single/ad/210882844,"
2-ком. квартира 60 м², 2/10 эт.
            
","Советский р-н, ул. Барыкина, д. 74","
126 000 р. 2 100  р./м²
"
100,1,210882839,https://www.moyareklama.by/single/ad/210882839,"
3-ком. квартира 63,8 м², 1/3 эт.
            
","г. Добруш, ул. Шершневой Риммы, д. 9 (Церковь)","
63 000 р. 987,46  р./м²
"
101,2,210882800,https://www.moyareklama.by/single/ad/210882800,"
1-ком. квартира 30 м², 3/5 эт.
            
","Центральный р-н, ул. Ветковская, д. 1","
58 000 р. 1 933,33  р./м²
"
102,3,210882797,https://www.moyareklama.by/single/ad/210882797,"
1-ком. квартира 31 м², 4/5 эт.
            
","Центральный р-н, ул. Комсомольская, д. 15","
68 000 р. 2 193,55  р./м²
"
103,4,210882736,https://www.moyareklama.by/single/ad/210882736,"
2-ком. квартира 51,3 м², 3/9 эт.
            
","Рогачевский р-н, г. Рогачев, ул. Ивана Богатырева, д. 145","
51 062 р. 995,36  р./м²
"
104,5,210882635,https://www.moyareklama.by/single/ad/210882635,"
2-ком. квартира 41,4 м², 5/5 эт.
            
","Железнодорожный р-н, ул. Советская, д. 125 А","
54 400 р. 1 314,96  р./м²
"
105,6,210882547,https://www.moyareklama.by/single/ad/210882547,"
3-ком. квартира 70,8 м², 2/10 эт.
            
","Центральный р-н, ул. Головацкого, д. 119","
130 000 р. 1 836,16  р./м²
"
106,7,210882476,https://www.moyareklama.by/single/ad/210882476,"
2-ком. квартира 50 м², 5/5 эт.
            
","Советский р-н, пр-т Октября, д. 39 (Ласточка)","
54 225 р. 1 085,59  р./м²
"
107,8,210882429,https://www.moyareklama.by/single/ad/210882429,"
1-ком. квартира 42 м², 1/4 эт.
            
","Центральный р-н, ул. Трудовая, д. 7","
76 100 р. 1 811,90  р./м²
"
108,9,210882347,https://www.moyareklama.by/single/ad/210882347,"
2-ком. квартира 65,9 м², 8/12 эт.
            
","Центральный р-н, ул. Волотовская, д. 11 (5-й подъезд)","
145 000 р. 2 200,30  р./м²
"
109,10,210882346,https://www.moyareklama.by/single/ad/210882346,"
2-ком. квартира 67,4 м², 7/9 эт.
            
","Центральный р-н, ул. Волотовская, д. 11 (4-й подъезд)","
155 020 р. 2 300  р./м²
"
110,11,210882344,https://www.moyareklama.by/single/ad/210882344,"
2-ком. квартира 76,9 м², 8/12 эт.
            
","Центральный р-н, ул. Волотовская, д. 11 (5-й подъезд)","
176 870 р. 2 300  р./м²
"
111,12,210882349,https://www.moyareklama.by/single/ad/210882349,"
3-ком. квартира 113,9 м², 2/9 эт.
            
","Центральный р-н, ул. Волотовская, д. 11","
193 630 р. 1 700  р./м²
"
112,13,210882345,https://www.moyareklama.by/single/ad/210882345,"
3-ком. квартира 113,9 м², 5/9 эт.
            
","Центральный р-н, ул. Волотовская, д. 11","
233 495 р. 2 050  р./м²
"
113,14,210882186,https://www.moyareklama.by/single/ad/210882186,"
3-ком. квартира 65,2 м², 6/9 эт.
            
","Железнодорожный р-н, ул. 50 лет Гомсельмаша, д. 26","
100 000 р. 1 533,74  р./м²
"
114,15,210882161,https://www.moyareklama.by/single/ad/210882161,"
3-ком. квартира 60 м², 1/5 эт.
            
","Железнодорожный р-н, ул. Советская, д. 139 (Горэлектротранспорт)","
88 000 р. 1 466,67  р./м²
"
115,16,210882107,https://www.moyareklama.by/single/ad/210882107,"
2-ком. квартира 47,3 м², 2/9 эт.
            
","Советский р-н, ул. Черноморская, д. 9","
82 000 р. 1 733,62  р./м²
"
116,17,210882096,https://www.moyareklama.by/single/ad/210882096,"
1-ком. квартира 29,8 м², 1/10 эт.
            
","Советский р-н, ул. 60лет ссср, д. 27 (Любенское озеро)","
40,32 р. 1,35  р./м²
"
117,18,210882080,https://www.moyareklama.by/single/ad/210882080,"
1-ком. квартира 35,4 м², 1/9 эт.
            
","Новобелицкий р-н, ул. Международная, д. 30 (""Международная"")","
55 660 р. 1 572,32  р./м²
"
118,19,210781590,https://www.moyareklama.by/single/ad/210781590,"
1-ком. квартира 36,3 м², 3/4 эт.
            
","Центральный р-н, ул. Красноармейская, д. 11","
67 480 р. 1 858,95  р./м²
"
119,20,210882060,https://www.moyareklama.by/single/ad/210882060,"
2-ком. квартира 47 м², 2/9 эт.
            
","Железнодорожный р-н, ул. Свиридова, д. 7 (Универсам Брянский)","
105 000 р. 2 234,04  р./м²
"
120,1,210882046,https://www.moyareklama.by/single/ad/210882046,"
2-ком. квартира 46,7 м², 4/9 эт.
            
","Советский р-н, ул. Космическая, д. 7 (""Сосновая"")","
75 000 р. 1 606  р./м²
"
121,2,210847635,https://www.moyareklama.by/single/ad/210847635,"
3-ком. квартира 77 м², 12/16 эт.
            
","Железнодорожный р-н, ул. Виноградная, д. 20 (Район Новая жизнь)","
110 000 р. 1 428,57  р./м²
"
122,3,210881864,https://www.moyareklama.by/single/ad/210881864,"
2-ком. квартира 46,2 м², 4/5 эт.
            
","Советский р-н, ул. Клермон-Ферран, д. 14 (Администрация Советского Района)","
82 300 р. 1 783,32  р./м²
"
123,4,210881853,https://www.moyareklama.by/single/ad/210881853,"
1-ком. квартира 38,9 м², 1/9 эт.
            
","Железнодорожный р-н, ул. Осипова, д. 3 (""Молодежная"")","
47 000 р. 1 208,23  р./м²
"
124,5,210881862,https://www.moyareklama.by/single/ad/210881862,"
1-ком. квартира 30,4 м², 1/5 эт.
            
","Новобелицкий р-н, ул. Димитрова, д. 49 (""2-я школа"")","
55 000 р. 1 809,21  р./м²
"
125,6,210881813,https://www.moyareklama.by/single/ad/210881813,"
2-ком. квартира 47,6 м², 2/5 эт.
            
","Советский район, ул. Октября, д. 22 (АРЭСА)","
79 731,30 р. 1 676,08  р./м²
"
126,7,210881814,https://www.moyareklama.by/single/ad/210881814,"
3-ком. квартира 64,2 м², 1/9 эт.
            
","Железнодорожный район, ул. Малайчука, д. 17","
84 563,50 р. 1 317,60  р./м²
"
127,8,210881720,https://www.moyareklama.by/single/ad/210881720,"
1-ком. квартира 20,1 м², 7/9 эт.
            
","Новобелицкий р-н, ул. Черниговская, д. 34 (9 Мая)","
30 000 р. 1 492,54  р./м²
"
128,9,210881699,https://www.moyareklama.by/single/ad/210881699,"
1-ком. квартира 38,4 м², 18/18 эт.
            
","Советский р-н, ул. Д.Н. Пенязькова","
68 000 р. 1 772,22  р./м²
"
129,10,210086344,https://www.moyareklama.by/single/ad/210086344,"
2-ком. квартира 45 м², 2/5 эт.
            
","Советский р-н, ул. Волгоградская, д. 33","
65 070 р. 1 446  р./м²
"
130,11,210881691,https://www.moyareklama.by/single/ad/210881691,"
2-ком. квартира 49,6 м², 2/5 эт.
            
","Речицкий р-н, г. Речица, ул. Трифонова, д. 109","
41 141 р. 829,46  р./м²
"
