,number,id,link,title,area,rooms,address,price,company_link,company_name,date
309,10,210882096,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210882096,"1-ком. квартира 29,8 м², 1/10 эт.",Советский,1,"Советский р-н, ул. 60 лет СССР, д. 27 (Любенское озеро)","40 320 р. 1 353,02  р./м²",None,Собственник,2022-11-27
310,11,210882080,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210882080,"1-ком. квартира 35,4 м², 1/9 эт.",Новобелицкий,1,"Новобелицкий р-н, ул. Международная, д. 30 (""Международная"")","55 660 р. 1 572,32  р./м²",None,Собственник,2022-11-27
311,12,210781590,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210781590,"1-ком. квартира 36,3 м², 3/4 эт.",Центральный,1,"Центральный р-н, ул. Красноармейская, д. 11","67 480 р. 1 858,95  р./м²",None,Собственник,2022-11-27
312,13,210882060,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210882060,"2-ком. квартира 47 м², 2/9 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Свиридова, д. 7 (Универсам Брянский)","105 000 р. 2 234,04  р./м²",None,Собственник,2022-11-27
313,14,210882046,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210882046,"2-ком. квартира 46,7 м², 4/9 эт.",Советский,2,"Советский р-н, ул. Космическая, д. 7 (""Сосновая"")",75 000 р. 1 606  р./м²,None,Собственник,2022-11-27
314,15,210847635,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210847635,"3-ком. квартира 77 м², 12/16 эт.",Железнодорожный,3,"Железнодорожный р-н, ул. Виноградная, д. 20 (Район Новая жизнь)","110 000 р. 1 428,57  р./м²",None,Собственник,2022-11-26
315,16,210881864,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210881864,"2-ком. квартира 46,2 м², 4/5 эт.",Советский,2,"Советский р-н, ул. Клермон-Ферран, д. 14 (Администрация Советского Района)","82 300 р. 1 783,32  р./м²",None,"Агентство ООО ""Капитал Недвижимости""",2022-11-26
316,17,210881862,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210881862,"1-ком. квартира 30,4 м², 1/5 эт.",Новобелицкий,1,"Новобелицкий р-н, ул. Димитрова, д. 49 (""2-я школа"")","55 000 р. 1 809,21  р./м²",None,"Агентство ООО ""Капитал Недвижимости""",2022-11-26
317,18,210881814,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210881814,"3-ком. квартира 64,2 м², 1/9 эт.",Железнодорожный,3,"Железнодорожный район, ул. Малайчука, д. 17","86 846,20 р. 1 353,17  р./м²",/single_spec.php?id=200893805,"Агентство ОДО ""Недвижимость линия закона""",2022-11-26
318,19,210881720,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210881720,"1-ком. квартира 20,1 м², 7/9 эт.",Новобелицкий,1,"Новобелицкий р-н, ул. Черниговская, д. 34 (9 Мая)","30 000 р. 1 492,54  р./м²",None,Собственник,2022-11-26
319,20,210881699,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210881699,"1-ком. квартира 38,4 м², 18/18 эт.",Советский,1,"Советский р-н, ул. Д.Н. Пенязькова","68 000 р. 1 772,22  р./м²",None,Собственник,2022-11-25
320,1,210086344,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210086344,"2-ком. квартира 45 м², 2/5 эт.",Советский,2,"Советский р-н, ул. Волгоградская, д. 33",65 070 р. 1 446  р./м²,None,Собственник,2022-11-25
321,2,210881689,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210881689,"2-ком. квартира 46 м², 5/5 эт.",Центральный,2,"Центральный р-н, ул. Портовая, д. 10а","59 000 р. 1 282,61  р./м²",None,Собственник,2022-11-25
322,3,210881675,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210881675,"3-ком. квартира 61,6 м², 4/5 эт.",Советский,3,"Советский р-н, ул. Братьев Лизюковых, д. 8","90 500 р. 1 470,35  р./м²",None,Собственник,2022-11-25
323,4,209682029,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/209682029,"2-ком. квартира 62,4 м², 12/18 эт.",Центральный,2,"Центральный р-н, ул. Сожская, д. 5","160 745 р. 2 575,63  р./м²",None,Собственник,2022-11-25
324,5,210771919,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210771919,"3-ком. квартира 77 м², 13/14 эт.",Центральный,3,"Центральный р-н, ул. Советская, д. 142А","144 000 р. 1 870,13  р./м²",/single_spec.php?id=210652159,"Агентство ООО ""Центр недвижимости ""Пакодан Регион""",2022-11-25
