,0,1,2,3,4,5,6
79,https://www.moyareklama.by/single/ad/210880828,210880828,"
1-ком. квартира 36,9 м², 11/11 эт.
            
","Советский р-н, ул. Пенязькова, д. 55Б","
67 690 р. 1 834,42  р./м²
","
Агентство ООО ""Капитал недвижимости""
",/single_spec.php?id=208314513
80,https://www.moyareklama.by/single/ad/210858328,210858328,"
3-ком. квартира 71,2 м², 5/9 эт.
            
","Железнодорожный р-н, ул. Чапаева, д. 4","
93 100 р. 1 307,58  р./м²
","
Агентство ООО ""Капитал недвижимости""
",/single_spec.php?id=208314513
81,https://www.moyareklama.by/single/ad/210860270,210860270,"
3-ком. квартира 75,2 м², 18/18 эт.
            
","Советский р-н, пр-т Речицкий, д. 78","
114 540 р. 1 523,54  р./м²
","
Агентство ООО ""Твой риэлтер""
",/single_spec.php?id=209978187
82,https://www.moyareklama.by/single/ad/210859333,210859333,"
1-ком. квартира 30,9 м², 9/10 эт.
            
","Центральный р-н, ул. Чечерская, д. 21","
65 583 р. 2 122,43  р./м²
","
Агентство ОДО ""Юриэлт""
",/single_spec.php?id=209876601
83,https://www.moyareklama.by/single/ad/210860168,210860168,"
1-ком. квартира 35,4 м², 5/5 эт.
            
","Советский р-н, мкр Энергетиков, д. 29","
42 330 р. 1 195,76  р./м²
","
Агентство ООО ""Твой риэлтер""
",/single_spec.php?id=209978187
84,https://www.moyareklama.by/single/ad/210862153,210862153,"
1-ком. квартира 30,9 м², 9/10 эт.
            
","Центральный р-н, ул. Чечерская, д. 27","
62 250 р. 2 016,52  р./м²
","
Агентство ООО ""Твой риэлтер""
",/single_spec.php?id=209978187
85,https://www.moyareklama.by/single/ad/210861389,210861389,"
2-ком. квартира 49,7 м², 4/5 эт.
            
","Центральный р-н, пр-т Ленина, д. 34","
80 735 р. 1 625,76  р./м²
","
Агентство ООО ""Капитал недвижимости""
",/single_spec.php?id=208314513
86,https://www.moyareklama.by/single/ad/210862289,210862289,"
3-ком. квартира 112 м², 3/6 эт.
            
","Железнодорожный р-н, ул. Ленина, д. 51 (Дом Комунны)","
","
Агентство ООО «Гид по недвижимости»
",/single_spec.php?id=207501945
87,https://www.moyareklama.by/single/ad/210863628,210863628,"
1-ком. квартира 38 м², 1/3 эт.
            
","Гомельский р-н, аг. Урицкое, ул. Парковая, д. 7","
51 000 р. 1 342,11  р./м²
","
Агентство ""Гид по недвижимости""
",/single_spec.php?id=207501945
88,https://www.moyareklama.by/single/ad/210861391,210861391,"
2-ком. квартира 55,9 м², 2/10 эт.
            
","Советский р-н, ул. Г.Денисенко, д. 48","
","
Агентство ООО ""Твой риэлтер""
",/single_spec.php?id=209978187
89,https://www.moyareklama.by/single/ad/210862179,210862179,"
3-ком. квартира 79,9 м², 2/10 эт.
            
","Центральный р-н, ул. Тельмана, д. 3 (Новый универмаг)","
237 500 р. 2 972,47  р./м²
","
Агентство ООО ""Гид по недвижимости""
",/single_spec.php?id=207501945
90,https://www.moyareklama.by/single/ad/210871652,210871652,"
3-ком. квартира 78,9 м², 4/5 эт.
            
","Центральный р-н, пр-т Ленина, д. 22 (остановка ""Карповича"")","
","
Агентство ООО ""Ваше агентство недвижимости""
",/single_spec.php?id=210280869
91,https://www.moyareklama.by/single/ad/210866470,210866470,"
4-ком. квартира 63,3 м², 5/5 эт.
            
","Советский р-н, ул. Б.Хмельницкого, д. 64","
","
Агентство ООО ""Капитал недвижимости""
",/single_spec.php?id=208314513
92,https://www.moyareklama.by/single/ad/210868155,210868155,"
1-ком. квартира 35,8 м², 10/16 эт.
            
","Советский р-н, ул. 60 лет СССР, д. 1 (остановка ""Жукова"")","
","
Агентство ООО ""Ваше агентство недвижимости""
",/single_spec.php?id=210280869
93,https://www.moyareklama.by/single/ad/210883241,210883241,"
3-ком. квартира 67,4 м², 1/15 эт.
            
","Железнодорожный р-н, ул. Петруся Бровки, д. 49","
125 840 р. 1 867,06  р./м²
","
Агентство ООО ""Центр недвижимости ""ПАКОДАН Регион""
",/single_spec.php?id=210652159
94,https://www.moyareklama.by/single/ad/210880785,210880785,"
2-ком. квартира 45,8 м², 3/9 эт.
            
","Новобелицкий р-н, ул. Рябиновая, д. 2а","
92 500 р. 2 019,65  р./м²
","
Агентство ООО ""А21 Недвижимость центр услуг""
",/single_spec.php?id=210567805
95,https://www.moyareklama.by/single/ad/210879352,210879352,"
2-ком. квартира 42,9 м², 4/4 эт.
            
","Железнодорожный р-н, ул. Билецкого, д. 2","
95 000 р. 2 216  р./м²
","
Агентство ООО ""А21 Недвижимость центр услуг""
",/single_spec.php?id=210567805
96,https://www.moyareklama.by/single/ad/210882889,210882889,"
1-ком. квартира 31,2 м², 7/9 эт.
            
","Железнодорожный р-н, ул. Свиридова, д. 1к2 (""Брянский"")","
65 000 р. 2 083,33  р./м²
","
                                    Собственник
                            ",None
97,https://www.moyareklama.by/single/ad/210882875,210882875,"
3-ком. квартира 65,3 м², 4/9 эт.
            
","Новобелицкий р-н, ул. Герцена (Международная)","
150 000 р. 2 297,09  р./м²
","
                                    Собственник
                            ",None
98,https://www.moyareklama.by/single/ad/210882861,210882861,"
2-ком. квартира 44 м², 4/4 эт.
            
","Центральный р-н, пр-т Победы, д. 20а","
110 000 р. 2 500  р./м²
","
                                    Собственник
                            ",None
99,https://www.moyareklama.by/single/ad/210882844,210882844,"
2-ком. квартира 60 м², 2/10 эт.
            
","Советский р-н, ул. Барыкина, д. 74","
126 000 р. 2 100  р./м²
","
                                    Собственник
                            ",None
100,https://www.moyareklama.by/single/ad/210882839,210882839,"
3-ком. квартира 63,8 м², 1/3 эт.
            
","г. Добруш, ул. Шершневой Риммы, д. 9 (Церковь)","
63 000 р. 987,46  р./м²
","
                                    Собственник
                            ",None
101,https://www.moyareklama.by/single/ad/210882800,210882800,"
1-ком. квартира 30 м², 3/5 эт.
            
","Центральный р-н, ул. Ветковская, д. 1","
58 000 р. 1 933,33  р./м²
","
                                    Собственник
                            ",None
102,https://www.moyareklama.by/single/ad/210882797,210882797,"
1-ком. квартира 31 м², 4/5 эт.
            
","Центральный р-н, ул. Комсомольская, д. 15","
68 000 р. 2 193,55  р./м²
","
                                    Собственник
                            ",None
103,https://www.moyareklama.by/single/ad/210882736,210882736,"
2-ком. квартира 51,3 м², 3/9 эт.
            
","Рогачевский р-н, г. Рогачев, ул. Ивана Богатырева, д. 145","
51 062 р. 995,36  р./м²
","
Агентство ООО Капитал Недвижимости
",/single_spec.php?id=208314513
104,https://www.moyareklama.by/single/ad/210882635,210882635,"
2-ком. квартира 41,4 м², 5/5 эт.
            
","Железнодорожный р-н, ул. Советская, д. 125 А","
54 400 р. 1 314,96  р./м²
","
Агентство ООО ""Капитал недвижимости""
",/single_spec.php?id=208314513
105,https://www.moyareklama.by/single/ad/210882547,210882547,"
3-ком. квартира 70,8 м², 2/10 эт.
            
","Центральный р-н, ул. Головацкого, д. 119","
130 000 р. 1 836,16  р./м²
","
                                    Собственник
                            ",None
