,number,id,link,title,address,price,company_link,company_name
950,11,210556286,https://www.moyareklama.by/single/ad/210556286,Дом 62 м² на участке 15 сот.,"Речицкий р-н, г. Василевичи, ул. Володарского, д. 12 (Рядом ж/д вокзал)",6 000 р.,None,Собственник
951,12,208896563,https://www.moyareklama.by/single/ad/208896563,Дом 98 м² на участке 10 сот.,"Речицкий р-н, г. Речица, ул. Конева, д. 32",35 000 р.,None,Собственник
952,13,210021544,https://www.moyareklama.by/single/ad/210021544,Дача 59 м² на участке 5 сот.,"Гомельский р-н, пос. Терюха, СО ""Терюха-1"", д. 19 (Цветочная ул.)",26 000 р.,None,Собственник
953,14,210753326,https://www.moyareklama.by/single/ad/210753326,Часть дома 160 м² на участке 15 сот.,"Новобелицкий р-н, ул. Красный маяк, д. 15/2",159 000 р.,None,Собственник
954,15,210752844,https://www.moyareklama.by/single/ad/210752844,"Полдома 65,4 м² на участке 20 сот.","Гомельский р-н, д. Еремино, ул. Вокзальная",54 600 р.,/single_spec.php?id=207501945,Агентство
955,16,210692713,https://www.moyareklama.by/single/ad/210692713,"Дача 82,5 м² на участке 12,5 сот.","Советский р-н, ул. Дачная, д. 101 (""Сады Приборские"")",31 500 р.,None,Собственник
956,17,210398124,https://www.moyareklama.by/single/ad/210398124,"Дом 59,5 м² на участке 25 сот.","Добрушский р-н, д. Дубровка, ул. Садовая",12 397 р.,/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
957,18,209009245,https://www.moyareklama.by/single/ad/209009245,"Часть дома 30 м² на участке 3,5 сот.","Советский р-н, ул. Гомельская (3-я школа)",,/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"""
958,19,209938599,https://www.moyareklama.by/single/ad/209938599,"Дом 92 м² на участке 8,8 сот.","Новобелицкий р-н, ул. Скорины",154 800 р.,/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"""
959,20,210690824,https://www.moyareklama.by/single/ad/210690824,Дом 75 м² на участке 25 сот.,"Гомельский р-н, д. Рубеж, ул. Садовая (Теренеческий с /с)",9 000 р.,None,Собственник
