,number,id,link,title,address,price,company_link,company_name
126,7,210857274,https://www.moyareklama.by/single/ad/210857274,Помещение под офис от 12 до 48 м²,"Железнодорожный р-н, ул. Свиридова (напротив Автобусного парка №6)",,None,Собственник
127,8,210877488,https://www.moyareklama.by/single/ad/210877488,"Помещение 77,8 м²","Центральный р-н, г. Гомель, пр-т Ленина, д. 14","229 900  р. 2 955,01  р./м²",None,Собственник
128,9,210757909,https://www.moyareklama.by/single/ad/210757909,Помещение от 10 до 255 м²,"Новобелицкий р-н, г. Гомель, ул. Достоевского, д. 1-1 (Бизнес-центр ""Белица-Сити"")","от 52 р./мес. 5,20  р./м²/мес.",None,Собственник
129,10,210876086,https://www.moyareklama.by/single/ad/210876086,"Помещение 75,4 м²","Железнодорожный р-н, г. Гомель, ул. Ленина, д. 51 (Дом-коммуна)","2 000 р./мес. 26,53  р./м²/мес.",None,Собственник
130,11,210873522,https://www.moyareklama.by/single/ad/210873522,Здание под офис 333 м²,"Центральный р-н, ул. Кирова, д. 3 (Вечный огонь)","820 000  р. 2 462,46  р./м²",None,Собственник
131,12,210849374,https://www.moyareklama.by/single/ad/210849374,Помещение для торговли 20 м²,"Железнодорожный р-н, ул. Гагарина, д. 89 (Мохов переезд)",,None,Собственник
132,13,210876720,https://www.moyareklama.by/single/ad/210876720,Помещение под офис от 14 до 35 м²,"Железнодорожный р-н, ул. Лепешинского, д. 2А",,None,Собственник
133,14,210876721,https://www.moyareklama.by/single/ad/210876721,Помещение производственно-складское от 70 до 350 м²,"Железнодорожный р-н, ул. Лепешинского, д. 2А",,None,Собственник
134,15,210870856,https://www.moyareklama.by/single/ad/210870856,Помещение офис и склад от 10 до 120 м²,"Железнодорожный р-н, ул. Федюнинского, д. 11А",,None,Собственник
135,16,210874751,https://www.moyareklama.by/single/ad/210874751,Помещение от 100 до 700 м²,"Центральный р-н, ул. Бородина, д. 6А",,None,Собственник
136,17,210873523,https://www.moyareklama.by/single/ad/210873523,Здание под офис 333 м²,"Центральный р-н, ул. Кирова, д. 3 (Вечный огонь)",,None,Собственник
137,18,210874752,https://www.moyareklama.by/single/ad/210874752,Помещение от 25 до 70 м²,"Центральный р-н, ул. Т.С. Бородина, д. 4",,None,Собственник
138,19,210876377,https://www.moyareklama.by/single/ad/210876377,Помещение под офис от 22 до 32 м²,"Центральный р-н, ул. Гагарина, д. 36",,None,Собственник
139,20,210874822,https://www.moyareklama.by/single/ad/210874822,"Помещение 89,2 м²","Центральный р-н, ул. Бородина, д. 4",,None,Собственник
140,1,210876204,https://www.moyareklama.by/single/ad/210876204,"Помещение свободного назначения 60,9 м²","Центральный р-н, ул. Рогачевская, д. 2а",,None,Собственник
141,2,210870556,https://www.moyareklama.by/single/ad/210870556,"Помещение под офис от 27,2 до 54,6 м²","Советский р-н, ул. Междугородняя, д. 1",,None,Собственник
142,3,210840044,https://www.moyareklama.by/single/ad/210840044,"Помещение под офис 58,3 м²","Железнодорожный р-н, ул. Могилевская, д. 5",,None,Собственник
143,4,210857606,https://www.moyareklama.by/single/ad/210857606,Здание свободного назначения от 10 до 800 м²,"Советский р-н, ул. Барыкина, д. 295 (кафе ""Ежа"")",,None,Собственник
144,5,210221729,https://www.moyareklama.by/single/ad/210221729,Здание свободного назначения 800 м²,"Советский р-н, ул. Барыкина, д. 295","350 000  р. 437,50  р./м²",None,Собственник
145,6,210875906,https://www.moyareklama.by/single/ad/210875906,"Помещение 53,3 м²","Железнодорожный р-н, ул. Кирова, д. 138","1 281 р./мес. 24,03  р./м²/мес.",None,Собственник
146,7,210857127,https://www.moyareklama.by/single/ad/210857127,"Здание 1096,4 м²","Рогачевский район, г. Рогачев, ул. Дзержинского, д. 1","499 000  р. 455,13  р./м²",None,Собственник
147,8,210857618,https://www.moyareklama.by/single/ad/210857618,"Помещение для торговли 185,4 м²","Железнодорожный р-н, ул. Ефремова, д. 5",,None,Собственник
148,9,210857603,https://www.moyareklama.by/single/ad/210857603,Помещение под склад 1245 м²,"Железнодорожный р-н, ул. Интендантская, д. 1М",,None,Собственник
149,10,210872401,https://www.moyareklama.by/single/ad/210872401,"Здание для торговли 295,1 м²","Железнодорожный р-н, ул. Н.Дворникова, д. 19-91",,None,Собственник
150,11,210875181,https://www.moyareklama.by/single/ad/210875181,Помещение под офис 8 м²,"Новобелицкий р-н, ул. Добрушская, д. 51",,None,Собственник
151,12,210875182,https://www.moyareklama.by/single/ad/210875182,Помещение под офис 32 м²,"Новобелицкий р-н, ул. Добрушская, д. 51",,None,Собственник
152,13,210875183,https://www.moyareklama.by/single/ad/210875183,Помещение под офис 15 м²,"Новобелицкий р-н, ул. Добрушская, д. 51",,None,Собственник
153,14,210875180,https://www.moyareklama.by/single/ad/210875180,Помещение под офис от 12 до 200 м²,"Новобелицкий р-н, ул. Добрушская, д. 51",,None,Собственник
154,15,210875185,https://www.moyareklama.by/single/ad/210875185,Здание (ангар с рабочей кран-балкой) 600 м²,"Новобелицкий р-н, ул. Добрушская, д. 51",,None,Собственник
155,16,210857613,https://www.moyareklama.by/single/ad/210857613,"Помещение для торговли 263,2 м²","Новобелицкий р-н, ул. Ильича, д. 30-1",,None,Собственник
156,17,210857130,https://www.moyareklama.by/single/ad/210857130,"Помещение (склад, бокс, торговая база) 639,6 м²","Новобелицкий р-н, ул. Шандалова, д. 26",,None,Собственник
157,18,210857609,https://www.moyareklama.by/single/ad/210857609,"Здание под магазин 200,2 м²","Советский р-н, ул. Белорусская, д. 113А",,None,Собственник
158,19,210838549,https://www.moyareklama.by/single/ad/210838549,Здание от 400 до 500 м²,"Советский р-н, ул. Междугородняя, д. 3",,None,Собственник
159,20,210857549,https://www.moyareklama.by/single/ad/210857549,Помещение под автосервис 100 м²,"Советский р-н, ул. Объездная, д. 32",,None,Собственник
160,1,210857621,https://www.moyareklama.by/single/ad/210857621,"Помещение для торговли 184,4 м²","Центральный р-н, ул. Крестьянская, д. 43",,None,Собственник
161,2,210666798,https://www.moyareklama.by/single/ad/210666798,Помещение 117 м²,"Центральный р-н, ул. Советская",,None,Собственник
162,3,210875184,https://www.moyareklama.by/single/ad/210875184,"Здание для торговли 344,6 м²","Центральный р-н, ул. Советская, д. 138А (Рембыттехника)",,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
163,4,210875160,https://www.moyareklama.by/single/ad/210875160,Здание под склад 1000 м²,"Железнодорожный р-н, пер. Якуба Коласа, д. 46",,None,Собственник
164,5,210435686,https://www.moyareklama.by/single/ad/210435686,Павильон для торговли 9 м²,"Советский р-н, пр-т Речицкий, д. 40 (Давыдовский рынок)","1 р./мес. 0,11  р./м²/мес.",None,Собственник
165,6,210874954,https://www.moyareklama.by/single/ad/210874954,Помещение под магазин 164 м²,"Новобелицкий р-н, ул. Ильича, д. 74Б (Рядом с рынком)",,None,Собственник
166,7,210486220,https://www.moyareklama.by/single/ad/210486220,Павильон для торговли 9 м²,"Советский р-н, пр-т Речицкий, д. 40 (Давыдовский рынок)","8 500  р. 944,44  р./м²",None,Собственник
167,8,210874695,https://www.moyareklama.by/single/ad/210874695,Помещение офисное место 25 м²,"Центральный р-н, ул. Жарковского, д. 24а (одна остановка от Вокзала)","71,40 р./мес. 2,86  р./м²/мес.",None,Собственник
168,9,210874706,https://www.moyareklama.by/single/ad/210874706,"Помещение юридический адрес 4,5 м²","Центральный р-н, ул. Жарковского, д. 24а (одна остановка от вокзала)","71,40 р./мес. 15,87  р./м²/мес.",None,Собственник
169,10,210874694,https://www.moyareklama.by/single/ad/210874694,Помещение конференц-зал 70 м²,"Центральный р-н, ул. Жарковского, д. 24а (одна остановка от вокзала)",,None,Собственник
170,11,210874705,https://www.moyareklama.by/single/ad/210874705,Помещение под офис 22 м²,"Центральный р-н, ул. Жарковского, д. 24а (одна остановка от вокзала)",,None,Собственник
171,12,209875631,https://www.moyareklama.by/single/ad/209875631,"Помещение свободного назначения 44,7 м²","Центральный р-н, ул. Интернациональная, д. 11 (напротив белшиновского колеса)",,None,Собственник
172,13,210873948,https://www.moyareklama.by/single/ad/210873948,"Здание от 63 до 403,1 м²","Гомельский р-н, д. Рудня-Телешовская","от 12,60 р./мес. 0,20  р./м²/мес.",None,Собственник
173,14,210873950,https://www.moyareklama.by/single/ad/210873950,"Помещение под склад от 279,9 до 970,1 м²","Гомельский, аг. Ерёмино, ул. Сурганова, д. 20","от 98,49 р./мес. 0,35  р./м²/мес.",None,Собственник
174,15,210870837,https://www.moyareklama.by/single/ad/210870837,Помещение торговый объект 168 м²,"Новобелецкий, ул. 1-я Транзитная, д. 20а (Рядом СТО грузовых автомобилей)","1 366 р./мес. 8,13  р./м²/мес.",None,Собственник
175,16,210856649,https://www.moyareklama.by/single/ad/210856649,Помещение для торговли 246 м²,"Новобелицкий р-н, ул. Ильича, д. 294","4 962 р./мес. 20,17  р./м²/мес.",None,Собственник
176,17,210856648,https://www.moyareklama.by/single/ad/210856648,Помещение для торговли 357 м²,"Новобелицкий р-н, ул. Ильича, д. 294","7 200 р./мес. 20,17  р./м²/мес.",None,Собственник
177,18,210847539,https://www.moyareklama.by/single/ad/210847539,Помещение под магазин 66 м²,"Новобелицкий р-н, ул. 5-я Техническая, д. 1-А",,None,Собственник
178,19,210835114,https://www.moyareklama.by/single/ad/210835114,Помещение 50 м²,"Центральный р-н, г. Гомель, пр-т Ленина, д. 33 (В самом центре Гомеля)",,None,Собственник
179,20,210828200,https://www.moyareklama.by/single/ad/210828200,Помещение свободного назначения 130 м²,"Центральный р-н, г. Гомель, ул. Новополесская, д. 2-1а (Напротив Новый Универмаг)",,None,Собственник
180,1,210874285,https://www.moyareklama.by/single/ad/210874285,Комплекс (автостоянка) 900 м²,"Советский р-н, ул. Лазурная, д. 9",,None,Собственник
181,2,210857118,https://www.moyareklama.by/single/ad/210857118,Здание 217 м²,"Речицкий район, г. Речица, ул. Конева, д. 4","79 200  р. 364,98  р./м²",None,Собственник
182,3,210873211,https://www.moyareklama.by/single/ad/210873211,Помещение офисы+склад от 15 до 3500 м²,"Железнодорожный р-н, ул. Лепешинского, д. 22а",,None,Собственник
183,4,210869584,https://www.moyareklama.by/single/ad/210869584,"Помещение под общепит от 125,9 до 2931,4 м²","Советский р-н, пр-т Октября, д. 50 и 56",,None,Собственник
184,5,210230768,https://www.moyareklama.by/single/ad/210230768,Помещение для торговли 46 м²,"Советский р-н, пр-т Речицкий, д. 5в",,None,Собственник
185,6,210631739,https://www.moyareklama.by/single/ad/210631739,Здание свободного назначения 333 м²,"Советский р-н, ул. Борисенко","96 800  р. 290,69  р./м²",/single_spec.php?id=207501945,"Агентство ООО ""Гид по недвижимости"""
186,7,210855625,https://www.moyareklama.by/single/ad/210855625,Здание 2800 м²,"Советский р-н, ул. Полесская, д. 96А (бывший кинотеатр ""Ракета"")",,None,Собственник
187,8,210835166,https://www.moyareklama.by/single/ad/210835166,"Помещение 72,6 м²","Центральный р-н, пр-т Победы, д. 9 (перекресток Победы и Кирова)",,None,Собственник
188,9,210629045,https://www.moyareklama.by/single/ad/210629045,Павильон для торговли 9 м²,"Железнодорожный р-н, ул. Шилова","11 800  р. 1 311,11  р./м²",None,Собственник
189,10,210333997,https://www.moyareklama.by/single/ad/210333997,Помещение под магазин 29 м²,"ул. Репина, д. 2 (Международная)","1 000 р./мес. 34,48  р./м²/мес.",None,Собственник
190,11,210835573,https://www.moyareklama.by/single/ad/210835573,Комплекс зданий и сооружений 39400 м²,"Гомельская область, г. Речица, пр-д Коммунальный",,None,Собственник
191,12,210834296,https://www.moyareklama.by/single/ad/210834296,Помещение (холодильные камеры) от 35 до 105 м²,"Железнодорожный р-н, ул. Шилова, д. 22",,None,Собственник
192,13,210855776,https://www.moyareklama.by/single/ad/210855776,"Помещение под склад 202,6 м²","Новобелицкий р-н, ул. Достоевского, д. 1 (ост.""Ленинградская"")",,None,Собственник
193,14,210834633,https://www.moyareklama.by/single/ad/210834633,Помещение от 20 до 200 м²,"Советский р-н, пр-т Октября, д. 67",,None,Собственник
194,15,210835170,https://www.moyareklama.by/single/ad/210835170,Помещение 6 м²,"Советский р-н, пр-т Речицкий, д. 80 (Автосалон НТС)",,None,Собственник
195,16,210834890,https://www.moyareklama.by/single/ad/210834890,"Помещение 54,8 м²","Центральный р-н, ул. Хатаевича, д. 53",,None,Собственник
196,17,210871348,https://www.moyareklama.by/single/ad/210871348,Комплекс под автостоянку со зданием 2594 м²,"Советский р-н, г. Гомель, ул. Хозяйственная аллея, д. 14а",,None,Собственник
197,18,210871296,https://www.moyareklama.by/single/ad/210871296,Помещение 34 м²,"Советский р-н, пр-т Речицкий, д. 5В (ТЦ ""Мандарин Плаза"")",,None,Собственник
198,19,210834389,https://www.moyareklama.by/single/ad/210834389,Здание 550 м²,"Советский р-н, г. Гомель, ул. 30 лет БССР, д. 1 (микрорайон Залинейный)",1 178 100  р. 2 142  р./м²,None,Собственник
199,20,210389088,https://www.moyareklama.by/single/ad/210389088,Комплекс свободного назначения от 50 до 200 м²,"Гомельский р-н, пос. Телеши, ул. Набережная, д. 6а",от 150 р./мес. 3  р./м²/мес.,None,Собственник
200,1,210833803,https://www.moyareklama.by/single/ad/210833803,Помещение от 550 до 1320 м²,"Новобелицкий р-н, ул. Добрушская, д. 12",,None,Собственник
201,2,210869749,https://www.moyareklama.by/single/ad/210869749,Павильон 16 м²,"Железнодорожный р-н, ул. Максима Богдановича",,None,Собственник
202,3,210869747,https://www.moyareklama.by/single/ad/210869747,Павильон для торговли 14 м²,"Железнодорожный р-н, ул. Советская (""Рембыттехника"")",,None,Собственник
203,4,210867966,https://www.moyareklama.by/single/ad/210867966,Здание (шатер из клееного бруса) 70 м²,"Центральный р-н, ул. Чечерская, д. 70А (рядом почта)",,None,Собственник
204,5,210848112,https://www.moyareklama.by/single/ad/210848112,Комплекс помещений бывшей сел. школы 1300 м²,"Добрушский, пос. Галое, ул. Коммунистическая, д. 1А (50 км от Гомеля)",,None,Собственник
205,6,210864419,https://www.moyareklama.by/single/ad/210864419,Помещение под магазин от 50 до 650 м²,"Жлобинский, г. Жлобин, б-р Металлургов, д. 9 (Торговый центр)",,None,Собственник
206,7,210864418,https://www.moyareklama.by/single/ad/210864418,Помещение под магазин от 50 до 650 м²,"Жлобинский, г. Жлобин, б-р Металлургов, д. 9 (Торговый центр)",,None,Собственник
207,8,210866619,https://www.moyareklama.by/single/ad/210866619,Помещение 943 м²,"Мозырский р-он, пос. Сосновый",,None,Собственник
208,9,210864420,https://www.moyareklama.by/single/ad/210864420,Помещение под магазин 420 м²,"Светлогорский, г. Светлогорск, пер. Авиационный, д. 1/6 (ЖД станция Светлогорск)",,None,Собственник
209,10,210864421,https://www.moyareklama.by/single/ad/210864421,Помещение под магазин 420 м²,"Светлогорский, г. Светлогорск, пер. Авиационный, д. 1/6 (ЖД станция Светлогорск)",,None,Собственник
210,11,210867883,https://www.moyareklama.by/single/ad/210867883,Помещение свободного назначения 70 м²,"Чечерск, г. Чечерск, ул. Урицкого, д. 18б","29 850  р. 426,43  р./м²",None,Собственник
211,12,210830388,https://www.moyareklama.by/single/ad/210830388,Помещение от 15 до 130 м²,"Железнодорожный р-н, ул. Лепешинского, д. 7И",,None,Собственник
212,13,210849017,https://www.moyareklama.by/single/ad/210849017,"Помещение под склад от 22,7 до 1000 м²","Мозырский, г. Мозырь, ул. Портовая, д. 18 а,б,в (мкр. Заречный)","от 68,10 р./мес. 3  р./м²/мес.",None,Собственник
213,14,210849018,https://www.moyareklama.by/single/ad/210849018,"Помещение под магазин от 9,4 до 27,8 м²","Мозырский, г. Мозырь, ул. Портовая, д. 18 а,б,в (мкр. Заречный)",,None,Собственник
214,15,210864738,https://www.moyareklama.by/single/ad/210864738,Помещение под склад 1200 м²,"Советский р-н, ул. Войсковая, д. 22",,None,Собственник
