,number,id,link,title,area,rooms,address,price,company_link,company_name
20,1,210495201,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210495201,"2-ком. квартира 56,3 м², 8/10 эт.",Советский,2,"Советский р-н, ул. Денисенко, д. 66","131 800 р. 2 341,03  р./м²",/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
21,2,210596058,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210596058,"3-ком. квартира 88,5 м², 1/10 эт.",Новобелицкий,3,"Новобелицкий р-н, ул. Разина, д. 22 (Новобелицкий ОВД)","130 000 р. 1 468,93  р./м²",None,"Застройщик Государственное предприятие ""УКС г.Гомеля"""
22,3,210596168,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210596168,"3-ком. квартира 80,7 м², 11/11 эт.",Железнодорожный,3,"Железнодорожный р-н, ул. 8-я Иногородняя, д. 7А (УО ""Гом. гос. проф.-тех.колледж народ.худож.промыслов"")","128 000 р. 1 586,12  р./м²",None,"Застройщик Государственное предприятие ""УКС г.Гомеля"""
23,4,210650902,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210650902,"2-ком. квартира 57,4 м², 1/11 эт.",Советский,2,"Советский р-н, ул. Барыкина (ул. Белорусская. д.11)","99 600 р. 1 736,40  р./м²",None,"Застройщик Государственное предприятие ""УКС г.Гомеля"""
24,5,210581366,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210581366,"3-ком. квартира 80 м², 4/5 эт.",Центральный,3,"Центральный район, ул. Свиридова, д. 34 (маг. Пятачок, СШ № 66)","145 353,80 р. 1 816,92  р./м²",/single_spec.php?id=200893805,"Агентство ОДО ""Недвижимость Линия Закона"""
25,6,210676119,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210676119,"2-ком. квартира 43,1 м², 4/5 эт.",Центральный,2,"Центральный р-н, ул. Гагарина, д. 9А","71 429 р. 1 657,29  р./м²",/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
26,7,210595037,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210595037,"2-ком. квартира 54,3 м², 1/9 эт.",Новобелицкий,2,"Новобелицкий р-н, ул. Оськина, д. 14 (магазин ""Копеечка"")","90 300 р. 1 662,98  р./м²",None,"Застройщик Государственное предприятие ""УКС г.Гомеля"""
27,8,210656442,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210656442,"2-ком. квартира 46,1 м², 5/5 эт.",Советский,2,"Советский р-н, ул. Павлова, д. 9","58 725 р. 1 273,86  р./м²",/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
28,9,210690149,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210690149,"4-ком. квартира 72,8 м², 4/5 эт.",Центральный,4,"Центральный р-н, ул. Ланге, д. 5А (ОКЦ)","134 160 р. 1 843,62  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
29,10,210692306,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210692306,"3-ком. квартира 69,9 м², 12/12 эт.",Железнодорожный,3,"Железнодорожный р-н, ул. Народного Ополчения, д. 4","102 500 р. 1 466,38  р./м²",/single_spec.php?id=207501945,"Агентство ""Гид по недвижимости"""
